t_ms,sum_junct,D,sat,G,G2,U,sum_junct2,Dz
398.38,-8,-56,-56,118,2346,100,110,-10
401.41,-8,-56,-56,118,4318,100,110,-10
404.43,-7,-15,-15,117,4135,100,110,-10
407.50,-7,-49,-49,116,4904,100,109,-9
410.48,-6,-8,-8,115,2548,100,109,-9
413.38,-7,-83,-83,115,4052,100,108,-8
416.37,-6,-8,-8,114,3504,100,108,-8
419.28,-5,0,0,113,6198,100,108,-8
422.14,-5,-35,-35,112,4136,100,107,-7
425.10,-4,5,5,111,4611,100,107,-7
427.97,-5,-69,-69,111,1769,100,106,-6
430.97,-4,5,5,110,2166,100,106,-6
433.82,-3,14,14,109,3951,100,106,-6
436.77,-2,19,19,108,2954,100,106,-6
439.70,-3,-55,-55,108,2922,100,105,-5
442.71,-2,19,19,107,1367,100,105,-5
445.67,-1,26,26,106,715,100,105,-5
448.57,-1,-7,-7,106,1582,100,105,-5
451.46,0,34,34,105,2262,100,105,-5
454.34,-1,-41,-41,105,1882,100,104,-4
457.36,0,33,33,104,764,100,104,-4
460.23,0,0,0,104,674,100,104,-4
462.97,1,43,43,103,128,100,104,-4
465.83,1,7,7,103,1429,100,104,-4
468.62,2,49,49,102,646,100,104,-4
471.48,2,14,14,102,1155,100,104,-4
474.36,1,-27,-27,102,321,100,103,-3
477.31,2,47,47,101,585,100,103,-3
480.16,2,14,14,101,107,100,103,-3
482.99,2,14,14,101,-259,100,103,-3
485.85,2,14,14,101,-513,100,103,-3
488.69,3,56,56,100,-232,100,103,-3
491.58,3,21,21,100,23,100,103,-3
494.37,3,21,21,100,1209,100,103,-3
497.25,3,21,21,100,1354,100,103,-3
500.13,3,21,21,100,1103,100,103,-3
503.01,3,21,21,100,1335,100,103,-3
505.88,2,-20,-20,100,1689,100,102,-2
508.84,2,14,14,100,2276,100,102,-2
511.72,2,14,14,100,2752,100,102,-2
514.60,2,14,14,100,2289,100,102,-2
517.47,2,14,14,100,2101,100,102,-2
520.36,1,-27,-27,100,2553,100,101,-1
523.32,1,7,7,100,2706,100,101,-1
526.11,1,7,7,100,3428,100,101,-1
528.91,1,7,7,100,2960,100,101,-1
531.69,1,7,7,100,2892,100,101,-1
534.49,0,-35,-35,100,2462,100,100,0
537.44,0,0,0,100,2739,100,100,0
540.20,0,0,0,100,3018,100,100,0
542.96,0,0,0,100,3103,100,100,0
545.73,0,0,0,100,3165,100,100,0
548.49,0,0,0,100,3020,100,100,0
551.25,0,0,0,100,2400,100,100,0
554.02,0,0,0,100,2219,100,100,0
556.78,0,0,0,100,2217,100,100,0
559.56,0,0,0,100,2214,100,100,0
562.34,0,0,0,100,2067,100,100,0
565.12,0,0,0,100,1923,100,100,0
567.89,0,0,0,100,1725,100,100,0
570.66,0,0,0,100,1342,100,100,0
573.45,0,0,0,100,1213,100,100,0
576.22,-1,-43,-43,100,997,100,99,1
579.13,-1,-7,-7,100,1020,100,99,1
581.94,-1,-7,-7,100,850,100,99,1
584.72,-1,-7,-7,100,252,100,99,1
587.50,-1,-7,-7,100,108,100,99,1
590.28,-1,-7,-7,100,-9,100,99,1
592.97,-1,-7,-7,100,-573,100,99,1
595.76,-1,-7,-7,100,-430,100,99,1
598.58,0,35,35,100,601,100,100,0
601.42,0,0,0,100,367,100,100,0
604.16,0,0,0,100,-303,100,100,0
606.90,0,0,0,100,-322,100,100,0
609.65,0,0,0,100,-321,100,100,0
612.41,0,0,0,100,-957,100,100,0
615.16,0,0,0,100,-1047,100,100,0
617.96,0,0,0,100,120,100,100,0
620.69,0,0,0,100,-108,100,100,0
623.43,0,0,0,100,-963,100,100,0
626.17,0,0,0,100,37,100,100,0
628.87,0,0,0,100,-2172,100,100,0
631.65,0,0,0,100,-386,100,100,0
634.38,0,0,0,100,-1770,100,100,0
637.18,0,0,0,100,-574,100,100,0
639.92,0,0,0,100,-1720,100,100,0
642.70,0,0,0,100,-925,100,100,0
645.44,0,0,0,100,-1919,100,100,0
648.23,0,0,0,100,-1448,100,100,0
651.02,0,0,0,100,-2099,100,100,0
653.80,0,0,0,100,-1471,100,100,0
656.59,0,0,0,100,-2121,100,100,0
